Sample Id,Description,Original Subject id,Body site,Phase,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8 2,CC_5_5 2,MLST_93,CC_5_5 3,CC_59_59,CC_30_36,CC_8_72,CC_8_8 3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5 4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9,Subject Id
SRS011132,Human Anterior nares microbiome from visit number 1 of subject 158479027,158479027,anterior nares,I,0,0,0,0.153467729,0,0,0,0,0,0,0.67477675,0.156515694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015239827,0,0,0,0,0,0,0,0,0,0,0,0,9
SRS021473,Human Buccal mucosa microbiome from visit number 2 of subject 158479027,158479027,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SRS011115,Human Tongue dorsum microbiome from visit number 1 of subject 158479027,158479027,tongue dorsum,I,0.279476107,0,0,0.09892214,0,0,0,0,0,0,0.576527457,0,0.005116106,0,0.031828496,0,0.008129694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SRS022645,Human Anterior nares microbiome from visit number 2 of subject 158499257,158499257,anterior nares,I,0,0.17817228,0,0,0,0,0,0,0.011231512,0,0,0,0,0,0,0,0,0,0,0,0,0.000508902,0,0.249981404,0.238509086,0.002648388,0,0,0.009938749,0,0.011434091,0,0,0,0,0,0,0.297575588,0,0,10
SRS022625,Human Buccal mucosa microbiome from visit number 2 of subject 158499257,158499257,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0.934782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SRS011144,Human Buccal mucosa microbiome from visit number 1 of subject 158499257,158499257,buccal mucosa,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SRS011247,Human Buccal mucosa microbiome from visit number 1 of subject 158742018,158742018,buccal mucosa,I,0.398230088,0,0,0,0,0,0,0,0,0,0,0,0.159292035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442477876,0,0,0,0,0,0,0,0,0,11
SRS011243,Human Tongue dorsum microbiome from visit number 1 of subject 158742018,158742018,tongue dorsum,I,0.2271362,0,0,0.11854648,0,0,0,0,0,0.352292881,0,0,0.102322465,0,0.144762677,0,0.054939297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SRS023557,Human Tongue dorsum microbiome from visit number 2 of subject 158802708,158802708,tongue dorsum,I,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SRS077864,Human Retroauricular crease microbiome from visit number 1 of subject 158802708,158802708,right retroauricular crease,II,0,0,0,0,0,0,0.17483655,0,0.135680395,0,0,0,0,0,0,0.331736605,0,0,0.126392977,0,0.051823578,0,0,0,0,0,0,0,0,0.052736572,0.126793324,0,0,0,0,0,0,0,0,0,12
SRS077863,Human Retroauricular crease microbiome from visit number 1 of subject 158802708,158802708,left_retroauricular crease,II,0,0,0,0,0,0,0.221444579,0,0,0,0,0,0,0,0,0,0,0,0.093611544,0,0.076751537,0,0,0.430118644,0,0,0,0.005799227,0,0.061928455,0.100452919,0,0,0,0.009893095,0,0,0,0,0,12
SRS012998,Human Nares microbiome from visit number 1 of subject 158802708,158802708,anterior nares,II,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SRS023847,Human Anterior nares microbiome from visit number 2 of subject 158883629,158883629,anterior nares,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
SRS075410,Human Supragingival plaque microbiome from visit number 3 of subject 158883629,158883629,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0.643146796,0,0,0,0,0,0,0.090835361,0,0,0,0,0,0,0,0,0,0,0,0.04379562,0,0.222222222,0,0,0,0,0,0,0,0,0,13
SRS023835,Human Tongue dorsum microbiome from visit number 2 of subject 158883629,158883629,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0.640576519,0,0,0,0,0.336302672,0,0.023120809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
SRS012916,Human Tongue dorsum microbiome from visit number 1 of subject 158883629,158883629,tongue dorsum,II,0,0.636261485,0,0,0,0,0,0,0,0.085682666,0,0,0,0,0.069067073,0,0.006390183,0,0.138951296,0,0,0,0,0,0,0.011502329,0,0,0,0,0,0,0,0.052144968,0,0,0,0,0,0,13
SRS012924,Human Retroauricular crease microbiome from visit number 1 of subject 158883629,158883629,left_retroauricular crease,II,0.976082831,0,0,0,0,0.001789854,0,0,0,0,0.001109558,0,0.000734813,0,0.001047026,0,0.000932566,0,0,0,0,0,0,0.001534282,0.002028357,0.001190492,0.000412656,0,0.001756177,0.002233912,0.003051163,0,0,0,0.001031,0,0.003159072,0.000761566,0.000256845,0.000887829,13
SRS012918,Human Buccal mucosa microbiome from visit number 1 of subject 158883629,158883629,buccal mucosa,II,0,0,0,0,0.714285714,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
SRS023212,Human Anterior nares microbiome from visit number 2 of subject 158924089,158924089,anterior nares,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
SRS011310,Human Buccal mucosa microbiome from visit number 1 of subject 158944319,158944319,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0.953846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
SRS024281,Human Buccal mucosa microbiome from visit number 2 of subject 158944319,158944319,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
SRS024277,Human Tongue dorsum microbiome from visit number 2 of subject 158944319,158944319,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241227297,0,0.061893846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696878857,0,0,0,0,0,0,0,0,0,15
SRS078250,Human Buccal mucosa microbiome from visit number 1 of subject 158944319,158944319,buccal mucosa,II,0.625,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
SRS078257,Human Retroauricular crease microbiome from visit number 1 of subject 158944319,158944319,right retroauricular crease,II,0.050533007,0,0,0,0,0,0.098710814,0,0.387065806,0,0,0,0,0,0,0,0,0,0.065483013,0,0.004296439,0,0,0,0.001025795,0,0,0,0,0,0.134583422,0,0,0,0.258301704,0,0,0,0,0,15
SRS078260,Human Nares microbiome from visit number 1 of subject 158944319,158944319,anterior nares,II,0.914140377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042188826,0,0,0,0,0,0,0,0,0,0,0,0.039017933,0,0,0,0.004652864,0,0,0,0,0,15
SRS011397,Human Anterior nares microbiome from visit number 1 of subject 158984779,158984779,anterior nares,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
SRS023595,Human Supragingival plaque microbiome from visit number 2 of subject 159005010,159005010,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0.954545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
SRS013637,Human Anterior nares microbiome from visit number 1 of subject 159207311,159207311,anterior nares,I,0.988235294,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
SRS013506,Human Buccal mucosa microbiome from visit number 1 of subject 159207311,159207311,buccal mucosa,I,0,0,0.706655711,0,0,0,0,0,0,0.078882498,0,0,0,0,0.176663928,0,0.037797864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
SRS024138,Human Tongue dorsum microbiome from visit number 2 of subject 159207311,159207311,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251012146,0,0.027327935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721659919,0,0,0,0,0,0,0,0,0,18
SRS078427,Human Buccal mucosa microbiome from visit number 1 of subject 159207311,159207311,buccal mucosa,II,0,0,0,0,0,0,0,0,0,0,0,0,0.120173635,0,0,0.040895591,0,0,0,0,0,0,0,0,0,0,0,0,0.838930775,0,0,0,0,0,0,0,0,0,0,0,18
SRS078434,Human Retroauricular crease microbiome from visit number 1 of subject 159207311,159207311,right retroauricular crease,II,0,0,0,0,0,0,0.075026912,0,0,0,0,0,0.045986017,0,0,0,0,0,0.033741934,0,0.042118919,0,0,0,0,0,0,0.029381365,0.492631039,0.08292837,0.145454653,0,0,0,0.052730792,0,0,0,0,0,18
SRS078433,Human Retroauricular crease microbiome from visit number 1 of subject 159207311,159207311,left_retroauricular crease,II,0,0,0,0,0,0.135779471,0.004925191,0,0,0,0,0,0.012532718,0,0,0,0.048819312,0,0,0,0.165756298,0,0,0,0,0,0.095834016,0.026278983,0.35510923,0,0.129652414,0,0,0,0.025312366,0,0,0,0,0,18
SRS024150,Human Nares microbiome from visit number 1 of subject 159207311,159207311,anterior nares,II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
SRS078425,Human Tongue dorsum microbiome from visit number 1 of subject 159207311,159207311,tongue dorsum,II,0,0,0,0,0,0.050948185,0,0,0,0.219287289,0.001335348,0,0.040725197,0,0.147348343,0,0.07594499,0,0,0,0,0,0,0,0.464410649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
SRS013542,Human Posterior fornix microbiome from visit number 1 of subject 159227541,159227541,palatine tonsils,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
SRS049147,Human Tongue dorsum microbiome from visit number 2 of subject 159227541,159227541,tongue dorsum,I,0,0,0,0,0,0,0.237699681,0,0,0.490095847,0,0,0,0,0.249201278,0,0.023003195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
SRS024015,Human Tongue dorsum microbiome from visit number 2 of subject 159247771,159247771,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0.636759582,0,0,0,0,0.333188153,0,0.030052265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
SRS013740,Human Nares microbiome from visit number 1 of subject 159268001,159268001,anterior nares,II,0,0,0,0,0,0,0.12145908,0,0,0.46742599,0,0,0,0,0,0,0,0,0.291963278,0,0,0,0,0,0,0,0,0,0,0,0.119151652,0,0,0,0,0,0,0,0,0,21
SRS078741,Human Retroauricular crease microbiome from visit number 1 of subject 159268001,159268001,right retroauricular crease,II,0,0,0,0,0,0,0.134168497,0,0,0.407609706,0,0,0,0,0,0,0,0,0.167156831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096993563,0.194071403,0,0,0,0,21
SRS023964,Human Supragingival plaque microbiome from visit number 2 of subject 159369152,159369152,supragingival plaque,I,0.019607843,0,0,0.960784314,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
SRS013164,Human Tongue dorsum microbiome from visit number 1 of subject 159369152,159369152,tongue dorsum,I,0,0,0,0,0,0,0,0,0,0,0,0.332214765,0.110738255,0,0,0,0.073825503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483221477,0,0,0,0,0,0,0,0,0,22
SRS016944,Human Retroauricular crease microbiome from visit number 1 of subject 159450072,159450072,left retroauricular crease,I,0.990282504,0,0,0,0,0,0,0,0,0,0,0,0.002356258,0,0,0.004185238,0,0,0,0,0,0,0,0,0,0.002126724,0,0,0,0,0.001049276,0,0,0,0,0,0,0,0,0,23
SRS016969,Human Tongue dorsum microbiome from visit number 1 of subject 159470302,159470302,tongue dorsum,II,0.961735253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025065445,0,0,0,0,0,0,0,0,0.013199302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
SRS044474,Human Anterior nares microbiome from visit number 2 of subject 159490532,159490532,anterior nares,I,0.28962684,0,0,0,0,0.43444026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095515235,0,0,0,0,0,0,0.180417665,0,0,0,0,0,25
SRS058182,Human Retroauricular crease microbiome from visit number 2 of subject 159490532,159490532,right retroauricular crease,I,0.891201576,0,0,0,0,0,0.015016586,0,0,0,0,0,0.011831781,0,0,0,0,0,0.007494423,0,0.011368102,0,0,0,0,0,0,0,0.002661378,0.022444668,0.026101174,0,0,0,0.011880311,0,0,0,0,0,25
SRS017025,Human Supragingival plaque microbiome from visit number 1 of subject 159490532,159490532,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0.970149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
SRS017156,Human Anterior nares microbiome from visit number 1 of subject 159551223,159551223,anterior nares,I,0.006707828,0,0,0,0,0,0,0,0,0.731012391,0,0,0,0,0,0.260728143,0.000263237,0,0,0,0,0,0,0.00123044,0,0.000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
SRS017127,Human Buccal mucosa microbiome from visit number 1 of subject 159551223,159551223,buccal mucosa,I,0.980315829,0,0,0.008024334,0,0,0,0,0,0,0,0,0.009627864,0,0,0,0.002031973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
SRS024347,Human Buccal mucosa microbiome from visit number 2 of subject 159551223,159551223,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0,0,0.927707911,0.030831643,0,0,0.041460446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
SRS017120,Human Tongue dorsum microbiome from visit number 1 of subject 159551223,159551223,tongue dorsum,I,0.952690604,0,0,0,0,0,0,0.044941855,0,0,0,0,0,0,0,0,0.002367542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
SRS013155,Human Anterior nares microbiome from visit number 1 of subject 159571453,159571453,anterior nares,I,0,0,0,0,0,0,0,0,0,0,0,0,0.421567331,0,0,0,0.128906441,0,0.449526228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
SRS024470,Human Buccal mucosa microbiome from visit number 2 of subject 159571453,159571453,buccal mucosa,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
SRS024482,Human Retroauricular crease microbiome from visit number 2 of subject 159571453,159571453,left retroauricular crease,I,0,0,0,0,0,0,0.141910642,0,0,0,0,0,0.105689377,0,0,0.174154943,0,0,0,0,0.022626794,0,0,0,0,0,0,0,0,0.13354611,0.321524826,0,0,0,0.100547307,0,0,0,0,0,27
SRS013269,Human Anterior nares microbiome from visit number 1 of subject 159591683,159591683,anterior nares,I,0,0,0,0,0,0,0,0,0,0.981636609,0,0,0,0,0,0,0.000835187,0,0,0.001514554,0,0,0,0,0,0.0000863,0,0.001161136,0.008739697,0,0.002352685,0.00122325,0,0,0,0,0,0,0.00140083,0.001049794,28
SRS024567,Human Anterior nares microbiome from visit number 2 of subject 159591683,159591683,anterior nares,I,0,0,0,0,0,0,0,0,0,0.987844814,0.004519185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005062716,0,0,0,0,0,0,0,0.002573285,0,28
SRS013258,Human Retroauricular crease microbiome from visit number 1 of subject 159591683 replicate 1,159591683,left retroauricular crease,I,0,0,0,0,0,0,0,0,0,0,0,0,0.141617516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152097165,0,0,0.469046877,0,0.237238442,0,0,0,0,0,0,0,28
SRS024596,Human Retroauricular crease microbiome from visit number 2 of subject 159591683 replicate 2,159591683,left retroauricular crease,I,0,0,0,0,0,0,0,0,0,0.738054861,0,0,0,0,0,0,0,0,0.130570471,0,0,0,0,0,0,0,0,0,0,0,0.049251005,0,0,0,0.082123663,0,0,0,0,0,28
SRS024598,Human Retroauricular crease microbiome from visit number 2 of subject 159591683 replicate 1,159591683,right retroauricular crease,I,0,0,0,0,0,0.48905521,0.136823614,0,0,0,0,0,0,0,0,0,0,0,0.050052398,0,0,0,0,0,0,0,0,0,0,0,0.177860384,0,0,0,0.146208393,0,0,0,0,0,28
SRS013261,Human Retroauricular crease microbiome from visit number 1 of subject 159591683 replicate 2,159591683,right retroauricular crease,I,0,0,0,0,0,0,0.000774366,0,0,0.964380334,0,0,0,0,0,0,0,0,0.017568061,0,0,0.005850435,0,0,0,0,0,0,0,0.004304838,0.007121967,0,0,0,0,0,0,0,0,0,28
SRS013234,Human Tongue dorsum microbiome from visit number 1 of subject 159591683,159591683,tongue dorsum,I,0,0,0,0.010021248,0.376799644,0,0,0,0,0,0,0,0.040197871,0,0,0,0.021030563,0,0,0,0,0,0,0,0,0,0.551950675,0,0,0,0,0,0,0,0,0,0,0,0,0,28
SRS024641,Human Buccal mucosa microbiome from visit number 2 of subject 159611913,159611913,buccal mucosa,I,0.96,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
SRS024649,Human Supragingival plaque microbiome from visit number 2 of subject 159611913,159611913,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692,0,0,0,0,0,0,0.807692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
SRS017088,Human Supragingival plaque microbiome from visit number 1 of subject 159611913,159611913,supragingival plaque,I,0.949152542,0,0,0,0,0,0,0,0,0.050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
SRS017076,Human Tongue dorsum microbiome from visit number 1 of subject 159611913,159611913,tongue dorsum,I,0.751824516,0,0,0.041584599,0,0,0,0,0,0,0,0,0,0,0,0,0.067228659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139362225,29
SRS024637,Human Tongue dorsum microbiome from visit number 2 of subject 159611913,159611913,tongue dorsum,I,0.049297897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099489189,0,0.314656785,0,0.117013748,0,0,0,0,0,0,0.41954238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
SRS016360,Human Supragingival plaque microbiome from visit number 1 of subject 159632143,159632143,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0.956521739,0,0,0,0,0,0,30
SRS016342,Human Tongue dorsum microbiome from visit number 1 of subject 159632143,159632143,tongue dorsum,I,0.584714701,0.052276446,0,0.013844866,0,0,0,0,0,0,0,0,0.087443192,0,0,0,0.006909344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254811451,0,0,0,0,0,0,0,0,0,30
SRS024424,Human Anterior nares microbiome from visit number 2 of subject 159713063,159713063,anterior nares,I,0.02822637,0.010980894,0.110637628,0.01994348,0.010544225,0.014356376,0.00000812,0.0379391,0.002897454,0,0.13219982,0.02477159,0,0.034390087,0.000202434,0,0.000357518,0.003687572,0.002512735,0,0.003606624,0.000938797,0,0.031712365,0.103375459,0.000130347,0.020406142,0,0.000487449,0,0,0,0.004228972,0.004702293,0,0.072999976,0.086783544,0.067373119,0.073929215,0.095670292,31
SRS024381,Human Supragingival plaque microbiome from visit number 2 of subject 159713063,159713063,supragingival plaque,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
SRS053214,Human Stool microbiome from visit number 2 of subject 159753524,159753524,stool,I,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
SRS016495,Human Stool microbiome from visit number 1 of subject 159753524 replicate 1,159753524,stool,I,0,0,0.666666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
